delete_reason,batch,Final label,Confidence,Keywords
ada perbedaan pandangan mengenai tujuan date,batch : 1 of 48 row: 1,alasan_DATE,90%,"perbedaan, pandangan, date"
pindah universitas di luar negri,batch : 1 of 48 row: 2,lokasi,100%,"pindah, universitas, luar"
pindah universitas di luar negri,batch : 1 of 48 row: 3,lokasi,100%,"pindah, universitas, luar"
Sekeluarga pindah ke Taiwan.,batch : 1 of 48 row: 4,lokasi,100%,"pindah, keluarga, Taiwan"
Mau mencari date lain yang harinya lbh sesuai,batch : 1 of 48 row: 5,alasan_DATE,80%,"date, hari, sesuai"
"Tidak aktif selama setahun, saya berusaha kontak namun msh blm ada jawaban",batch : 1 of 48 row: 6,tidak_ada_respon,100%,"tidak, aktif, jawaban"
Suami dari DM tapi tidak ikut date,batch : 1 of 48 row: 7,perbedaan_musim_kehidupan,80%,"suami, date, tidak"
"sudah tidak aktif date
date bukan jadi prioritas dalam berkomunitas
sepanjang pandemik samp mei 2023 hanya sekitar 10x date",batch : 1 of 48 row: 8,alasan_DATE,90%,"tidak, aktif, date"
"sudahbtidak aktif di date kelapa gading 32 selama 3 tahun
udah dikonfirmasi tanpa ada keputusan",batch : 1 of 48 row: 9,alasan_DATE,90%,"tidak, aktif, date"
"Tidak aktif sepanjang 2 tahun dan smp 2023 
dan telah konfirmasi memang tidak mau akif di date KG32",batch : 1 of 48 row: 10,alasan_DATE,90%,"tidak, aktif, date"
"non aktif sepanjang pandemic
tahun 2023 hanya datang 1x 
sepanjang 5 bulan ini hanya 1x hadir dalam pertemuan date.",batch : 2 of 48 row: 1,others,80%,"pandemic, tidak aktif, jarang hadir"
"mau mencari date lain, karena ada perbedaan tujuan dan harapan dalam mengikuti DATE",batch : 2 of 48 row: 2,alasan_DATE,90%,"perbedaan tujuan, cari date lain, harapan"
"mau mencari date lain, karena ada perbedaan tujuan dan harapan dalam mengikuti DATE",batch : 2 of 48 row: 3,alasan_DATE,90%,"perbedaan tujuan, cari date lain, harapan"
Pindah ke married date supaya lebih sesuai dengan kebutuhan.,batch : 2 of 48 row: 4,perbedaan_musim_kehidupan,85%,"pindah ke married date, kebutuhan, berubah"
Pindah ke married date supaya lebih sesuai dengan kebutuhan.,batch : 2 of 48 row: 5,perbedaan_musim_kehidupan,85%,"pindah ke married date, kebutuhan, berubah"
