delete_reason,batch,Final label,Confidence,Keywords
moving to Bandung already years,batch : 1 of 48 row: 1,lokasi,90%,"moving, Bandung, years"
DM sudah tidak pernah dtg ke DATE lbh dr 2 tahun,batch : 1 of 48 row: 2,tidak_ada_respon,80%,"tidak, pernah, dtg"
DM sudah tidak pernah dtg ke DATE lbh dr 2 tahun,batch : 1 of 48 row: 3,tidak_ada_respon,80%,"tidak, pernah, dtg"
DM sudah tidak pernah dtg ke date lbh dr 2 tahun,batch : 1 of 48 row: 4,tidak_ada_respon,80%,"tidak, pernah, dtg"
DM sudah tidak pernah dtg ke date dlm jangka waktu 2 tahun,batch : 1 of 48 row: 5,tidak_ada_respon,80%,"tidak, pernah, dtg"
putri berencana pindah gereja ke gereja awal bersama teman2nya,batch : 1 of 48 row: 6,tertanam_di_gereja_lain,85%,"pindah, gereja, teman2nya"
"withdraw from DATE, disarankan untuk mencari DATE lain yg lebih sesuai",batch : 1 of 48 row: 7,alasan_DATE,90%,"withdraw, DATE, lain"
Sudah pindah keCikarang jadi tidak bisa date lagi,batch : 1 of 48 row: 8,lokasi,95%,"pindah, Cikarang, tidak"
Date member memilih untuk off sementara krn alasan yg tdk bs dijelaskan kepada DL.,batch : 1 of 48 row: 9,others,70%,"off, tidak, bs"
Sudah tidak pernah datang selama 3 bulan terakhir.,batch : 1 of 48 row: 10,tidak_ada_respon,80%,"tidak, pernah, datang"
Tidak aktif di date selama lebih dari 1 tahun.,batch : 2 of 48 row: 1,alasan_DATE,80%,"tidak aktif, date, tahun"
Tidak aktif di date selama lebih dari 1 tahun.,batch : 2 of 48 row: 2,alasan_DATE,80%,"tidak aktif, date, tahun"
Tidak aktif di date selama lebih dari 1 tahun.,batch : 2 of 48 row: 3,alasan_DATE,80%,"tidak aktif, date, tahun"
"Belum bisa komitmen untuk datang ke Date, sudah berbulan-bulan tidak hadir ke 
Date dan Sdri. Mei meminta secara pribadi untuk dikeluarkan dari date.",batch : 2 of 48 row: 4,alasan_DATE,90%,"tidak hadir, date, keluar"
memutuskan utk tidak ternama di DATE lagi karena season kehidupan yg baru yaitu menikah dan belum ada waktu untuk cari DATE yg lbh dekat dekat tempat tinggal baru nya di TANGERANG. sebagai DL saya sudah bantu fasilitasi untuk cari DATE baru namun tidak ada kabar dan komitmen nya utk visit maupun cari DATE married couple.,batch : 2 of 48 row: 5,perbedaan_musim_kehidupan,95%,"menikah, baru, tempat tinggal"
"Salah input
Salah input nama. Itu nama anak date member",batch : 2 of 48 row: 6,Admin,95%,"salah input, nama, anak"
"Date Member info blom bisa komitmen untuk hadir mengikutin date walaupun 1 atau 2 bulan sekali karena sering lembur di kantor..udh info ke date member akan coba bantu cari date yang bisa menyesuaikan dengan jadwal member , tp date membernya tetap pada pendiriaanya..dan selama join di date di bulan januari date member baru hadir 3x ikut join date sampai july ini..thank you",batch : 2 of 48 row: 7,waktu_tidak_sesuai,90%,"lembur, kantor, jadwal"
"Arwin & family moved to Bali dan mau tertanam di gereja lokal, dan mereka mau bergabung komsel disana.",batch : 2 of 48 row: 8,lokasi,95%,"pindah, bali, gereja lokal"
"Gina & family move to Bali dan mau tertanam di gereja lokal, dan mereka mau bergabung komsel disana.",batch : 2 of 48 row: 9,lokasi,95%,"pindah, bali, gereja lokal"
Memutuskan utk tertanam di gereja lain,batch : 2 of 48 row: 10,tertanam_di_gereja_lain,95%,"gereja lain, tertanam, memutuskan"
sudah tidak pernah datang ke date dan gereja.,batch : 3 of 48 row: 1,tidak_ada_respon,90%,"tidak pernah datang, date, gereja"
Sudah Tidak lagi berdomisili di Jakarta,batch : 3 of 48 row: 2,lokasi,100%,"tidak berdomisili, Jakarta, pindah"
Saudara Deynes sudah almarhum atau meninggal dunia,batch : 3 of 48 row: 3,others,100%,"meninggal, dunia, almarhum"
ybs sudah tidak pernah hadir di DATE dan ibadah onsite,batch : 3 of 48 row: 4,tidak_ada_respon,90%,"tidak pernah hadir, date, ibadah"
Never joined DATE more than 7 months.,batch : 3 of 48 row: 5,others,80%,"never joined, date, 7 months"
Never joined DATE more than a year.,batch : 3 of 48 row: 6,others,80%,"never joined, date, 1 year"
Never joined DATE more than a year.,batch : 3 of 48 row: 7,others,80%,"never joined, date, 1 year"
Renati pindah ke Bali dan akan bergereja di Bali,batch : 3 of 48 row: 8,lokasi,100%,"pindah, bali, bergereja"
Pindah ke gereja lain bersama pacarnya.,batch : 3 of 48 row: 9,tertanam_di_gereja_lain,100%,"pindah gereja, pacarnya, gereja lain"
Pindah ke gereja lain dan pindah tempat tinggal.,batch : 3 of 48 row: 10,lokasi,100%,"pindah gereja, pindah tempat, tinggal"
diluar kota sejak beberapa tahun yg lalu,batch : 4 of 48 row: 1,lokasi,90%,"diluar, kota"
"date member sudah berpindah lokasi,jadi tidak memungkinkan untuk stay di date.",batch : 4 of 48 row: 2,lokasi,95%,"berpindah, lokasi"
"date member sudah pindah lokas, jadi tidak memungkinkan kalau stay di date kami. Dan sudah coba di date yang dekat dengan rumahnya",batch : 4 of 48 row: 3,lokasi,95%,"pindah, lokas"
Robin & Meylis sudah pindah ke Medan dari setahun lalu dan akan seterus nya domisili di Medan. Mereka juga sudah menemukan gereja lokal disana.,batch : 4 of 48 row: 4,lokasi,100%,"pindah, Medan"
Robin & Meylis sudah pindah ke Medan dari setahun lalu dan akan seterus nya domisili di Medan. Mereka juga sudah menemukan gereja lokal disana.,batch : 4 of 48 row: 5,lokasi,100%,"pindah, Medan"
Pindah Domisili ke New Zealand,batch : 4 of 48 row: 6,lokasi,100%,"Pindah, Domisili"
Pindah Domisili Ke New Zealand,batch : 4 of 48 row: 7,lokasi,100%,"Pindah, Domisili"
"akan dapat beasiswa ke New York, jadi tidak akan berada di Jakarta",batch : 4 of 48 row: 8,lokasi,100%,"pindah, New York"
memberi tempat ke DM yg lbh membutuhkan,batch : 4 of 48 row: 9,others,80%,"memberi, tempat"
"sudah di luar kota, ga aktif lg",batch : 4 of 48 row: 10,lokasi,90%,"di luar, kota"
ybs sudah lama tidak pernah hadir di pertemuan date. sudah konfirmasi pd ybs utk proses remove.,batch : 5 of 48 row: 1,tidak_ada_respon,90%,"tidak hadir, konfirmasi, remove"
Sedang mencari date married couple,batch : 5 of 48 row: 2,others,80%,"mencari, date, married"
Sedang mencari date married couple,batch : 5 of 48 row: 3,others,80%,"mencari, date, married"
"memutuskan untuk tidak Date lagi, karena pindah tempat tinggal.",batch : 5 of 48 row: 4,lokasi,95%,"pindah, tempat tinggal, date"
"tinggal di luar kota, jadi tidak bisa hadir jpcc lagi",batch : 5 of 48 row: 5,lokasi,95%,"tinggal, luar kota, jpcc"
pindah rumah dan pindah gereja,batch : 5 of 48 row: 6,lokasi,95%,"pindah, rumah, gereja"
pindah rumah dan pindah gereja ke luar kt,batch : 5 of 48 row: 7,lokasi,95%,"pindah, rumah, luar kt"
"kuliah diluar kota, kita himbau untuk mencari komunitas lokal",batch : 5 of 48 row: 8,lokasi,95%,"kuliah, luar kota, komunitas"
"kuliah diluar kota, jadi kami himbau untuk mencari komunitas lokal.",batch : 5 of 48 row: 9,lokasi,95%,"kuliah, luar kota, komunitas"
"sedang kuliah diluar negeri, kita himbau untuk join komunitas lokal.",batch : 5 of 48 row: 10,lokasi,95%,"kuliah, luar negeri, komunitas"
"never joined the date since the beginning,",batch : 6 of 48 row: 1,others,80%,"never, joined, date"
"long time inactive , not joining jpcc online service too, ministry in other church",batch : 6 of 48 row: 2,tertanam_di_gereja_lain,90%,"ministry, other, church"
"long time inactive , not joining jpcc online service too, ministry in other church",batch : 6 of 48 row: 3,tertanam_di_gereja_lain,90%,"ministry, other, church"
"long time inactive , not joining jpcc online service too, ministry in other church",batch : 6 of 48 row: 4,tertanam_di_gereja_lain,90%,"ministry, other, church"
Ella is moving to UK for working,batch : 6 of 48 row: 5,lokasi,100%,"moving, UK, working"
Pindah ke luar kota dan tidak ikut date lagi,batch : 6 of 48 row: 6,lokasi,100%,"pindah, luar, kota"
Info dr dm tidak mau ikut date dulu,batch : 6 of 48 row: 7,others,60%,"tidak, mau, ikut"
Pindah tempat tinggal dan sudah berkeluarga,batch : 6 of 48 row: 8,perbedaan_musim_kehidupan,90%,"berkeluarga, pindah, tempat"
"setelah berdiskusi, DM siap untuk menjalani season baru di tempat yang baru bersama dengan pasangan, dan kami segenap DATE mendukung agar DM dapat tertanam dan bertumbuh dengan baik dan optimal di tempat baru nya.",batch : 6 of 48 row: 9,perbedaan_musim_kehidupan,100%,"season, baru, berkeluarga"
