delete_reason,batch,Final label,Confidence,Keywords
Meninggal dunia.,batch : 1 of 48 row: 1,others,99%,"meninggal, wafat, dunia"
belum bisa komitmen,batch : 1 of 48 row: 2,others,72%,"komitmen, belum, bisa"
"Jarang sekali hadir , lebih dari 3 bulan tidak hadir",batch : 1 of 48 row: 3,tidak_ada_respon,86%,"jarang hadir, 3 bulan, tidak hadir"
sudah menemukan DATE baru yg cocok,batch : 1 of 48 row: 4,alasan_DATE,97%,"DATE baru, cocok, DATE"
date member meminta untuk off,batch : 1 of 48 row: 5,alasan_DATE,95%,"date member, off, meminta"
Yudith kembali ke Sumatera Utara for good,batch : 1 of 48 row: 6,lokasi,98%,"Sumatera Utara, for good, kembali"
pindah ke Aussie,batch : 1 of 48 row: 7,lokasi,99%,"pindah, Aussie, luar negeri"
indikasi mencari keuntungan dgn cara tidak benar,batch : 1 of 48 row: 8,others,84%,"keuntungan, tidak benar, indikasi"
DM ybs pindah keluar kota (bali),batch : 1 of 48 row: 9,lokasi,97%,"pindah, keluar kota, Bali"
keluarga tidak mengijinkan ke Kristen,batch : 1 of 48 row: 10,others,88%,"keluarga, tidak mengizinkan, Kristen"
"Mutasi Pekerjaan ke kota lain, dan tertanam di Gereja lain",batch : 2 of 48 row: 1,lokasi,97%,"mutasi, kota lain, gereja lain"
"Katanya sudah tidak nyaman di date, pas saya tanyain tidak ada respon sama sekali lagi. Saya sendiri tidak tahu alasannya kenapa dia keluar dan ga nyaman",batch : 2 of 48 row: 2,tidak_ada_respon,95%,"tidak nyaman, tidak respon, tidak tahu"
anak dari DL,batch : 2 of 48 row: 3,Admin,88%,"anak, DL, data"
anak dari DL,batch : 2 of 48 row: 4,Admin,88%,"anak, DL, data"
Sinta pilih keluar Date karena marah ditegur DL tidak boleh pendekatan dg suami orang,batch : 2 of 48 row: 5,alasan_DATE,96%,"marah, tegur, Date"
DF hanya cover DATE sementara saja,batch : 2 of 48 row: 6,Admin,90%,"cover, sementara, DATE"
memilih tempat date lain untuk bertumbuh dan sudah hibernasi selama 9 bulan,batch : 2 of 48 row: 7,alasan_DATE,93%,"date lain, bertumbuh, hibernasi"
"beda musim jadinya gak pernah datang dan susah berkomunikasi, sudah coba berkomunikasi tapi tidak terlalu ada hasil",batch : 2 of 48 row: 8,perbedaan_musim_kehidupan,84%,"beda musim, tidak datang, komunikasi"
domisili luar kota,batch : 2 of 48 row: 9,lokasi,99%,"domisili, luar kota, pindah"
Tidak ada pertumbuhan dan tidak ada relationship dengan DM lain,batch : 2 of 48 row: 10,alasan_DATE,78%,"tidak ada pertumbuhan, relationship, DM"
Tidak ada pertumbuhan dan tidak ada relationship dengan DM lain,batch : 3 of 48 row: 1,others,86%,"tidak tumbuh, relationship, DM"
"Amggie memutuskan utk fokus bekerja skrg krn byk business trip jg ke luar kota, jd gak bisa DATE dl",batch : 3 of 48 row: 2,lokasi,93%,"business trip, luar kota, fokus kerja"
pindah date area lokasi tapi gak bisa ditrasfer jadinya delete dulu biar DL nya bisa add sendiri,batch : 3 of 48 row: 3,alasan_DATE,95%,"pindah date, area lokasi, transfer"
mengundurkan diri,batch : 3 of 48 row: 4,others,88%,"mengundurkan diri, tanpa alasan, umum"
