delete_reason,batch,Final label,Confidence,Keywords
moving to Bandung already years,batch : 1 of 48 row: 1,lokasi,95%,"moving, Bandung, relocation"
DM sudah tidak pernah dtg ke DATE lbh dr 2 tahun,batch : 1 of 48 row: 2,tidak_ada_respon,90%,"tidak pernah datang, 2 tahun, missing"
DM sudah tidak pernah dtg ke DATE lbh dr 2 tahun,batch : 1 of 48 row: 3,tidak_ada_respon,90%,"tidak pernah datang, 2 tahun, missing"
DM sudah tidak pernah dtg ke date lbh dr 2 tahun,batch : 1 of 48 row: 4,tidak_ada_respon,90%,"tidak pernah datang, 2 tahun, missing"
DM sudah tidak pernah dtg ke date dlm jangka waktu 2 tahun,batch : 1 of 48 row: 5,tidak_ada_respon,90%,"tidak pernah datang, 2 tahun, missing"
putri berencana pindah gereja ke gereja awal bersama teman2nya,batch : 1 of 48 row: 6,tertanam_di_gereja_lain,92%,"pindah gereja, gereja awal, memilih"
"withdraw from DATE, disarankan untuk mencari DATE lain yg lebih sesuai",batch : 1 of 48 row: 7,alasan_DATE,88%,"withdraw, DATE lain, tidak sesuai"
Sudah pindah keCikarang jadi tidak bisa date lagi,batch : 1 of 48 row: 8,lokasi,93%,"pindah, Cikarang, relocation"
Date member memilih untuk off sementara krn alasan yg tdk bs dijelaskan kepada DL.,batch : 1 of 48 row: 9,others,75%,"alasan tidak jelas, off sementara, ambigu"
Sudah tidak pernah datang selama 3 bulan terakhir.,batch : 1 of 48 row: 10,tidak_ada_respon,85%,"tidak datang, 3 bulan, missing"
Tidak aktif di date selama lebih dari 1 tahun.,batch : 2 of 48 row: 1,tidak_ada_respon,75%,"tidak aktif, 1 tahun, no engagement"
Tidak aktif di date selama lebih dari 1 tahun.,batch : 2 of 48 row: 2,tidak_ada_respon,75%,"tidak aktif, 1 tahun, no engagement"
Tidak aktif di date selama lebih dari 1 tahun.,batch : 2 of 48 row: 3,tidak_ada_respon,75%,"tidak aktif, 1 tahun, no engagement"
