delete_reason,batch,Final label,Confidence,Keywords
ada perbedaan pandangan mengenai tujuan date,batch : 1 of 48 row: 1,alasan_DATE,97%,"pandangan, tujuan, date"
pindah universitas di luar negri,batch : 1 of 48 row: 2,lokasi,99%,"pindah, universitas, luar negeri"
pindah universitas di luar negri,batch : 1 of 48 row: 3,lokasi,99%,"pindah, universitas, luar negeri"
Sekeluarga pindah ke Taiwan.,batch : 1 of 48 row: 4,lokasi,99%,"sekeluarga, pindah, Taiwan"
Mau mencari date lain yang harinya lbh sesuai,batch : 1 of 48 row: 5,alasan_DATE,95%,"date lain, hari sesuai, mencari"
"Tidak aktif selama setahun, saya berusaha kontak namun msh blm ada jawaban",batch : 1 of 48 row: 6,tidak_ada_respon,98%,"tidak ada jawaban, kontak, setahun"
Suami dari DM tapi tidak ikut date,batch : 1 of 48 row: 7,others,72%,"suami, DM, date"
"sudah tidak aktif date
date bukan jadi prioritas dalam berkomunitas
sepanjang pandemik samp mei 2023 hanya sekitar 10x date",batch : 1 of 48 row: 8,others,84%,"tidak aktif, prioritas, pandemik"
"sudahbtidak aktif di date kelapa gading 32 selama 3 tahun
udah dikonfirmasi tanpa ada keputusan",batch : 1 of 48 row: 9,tidak_ada_respon,90%,"tidak aktif, dikonfirmasi, tanpa keputusan"
"Tidak aktif sepanjang 2 tahun dan smp 2023 
dan telah konfirmasi memang tidak mau akif di date KG32",batch : 1 of 48 row: 10,tidak_ada_respon,88%,"tidak aktif, konfirmasi, tidak mau"
"non aktif sepanjang pandemic
tahun 2023 hanya datang 1x 
sepanjang 5 bulan ini hanya 1x hadir dalam pertemuan date.",batch : 2 of 48 row: 1,tidak_ada_respon,78%,"non aktif, 1x hadir, pandemic"
"mau mencari date lain, karena ada perbedaan tujuan dan harapan dalam mengikuti DATE",batch : 2 of 48 row: 2,alasan_DATE,95%,"date lain, tujuan, harapan"
"mau mencari date lain, karena ada perbedaan tujuan dan harapan dalam mengikuti DATE",batch : 2 of 48 row: 3,alasan_DATE,95%,"date lain, tujuan, harapan"
Pindah ke married date supaya lebih sesuai dengan kebutuhan.,batch : 2 of 48 row: 4,alasan_DATE,92%,"married date, kebutuhan, pindah"
Pindah ke married date supaya lebih sesuai dengan kebutuhan.,batch : 2 of 48 row: 5,alasan_DATE,92%,"married date, kebutuhan, pindah"
sudah beberapa bulan tidak ikut date dan waktu yang terlalu sibuk sehingga memutuskan untuk off dl,batch : 2 of 48 row: 6,waktu_tidak_sesuai,93%,"sibuk, tidak ikut, off"
date member akan kerja di luar negeri dan mengikuti suaminya. date member mencari date yang bisa online agar tetap bisa berkomunitas saat di luar negeri.,batch : 2 of 48 row: 7,lokasi,96%,"luar negeri, suami, online"
Indra sudah info tidak ikut DATE karena sudah pindah gereja.,batch : 2 of 48 row: 8,tertanam_di_gereja_lain,97%,"pindah gereja, tidak ikut, DATE"
Indra sudah info tidak ikut DATE karena sudah pindah gereja.,batch : 2 of 48 row: 9,tertanam_di_gereja_lain,97%,"pindah gereja, tidak ikut, DATE"
"member salah input double 
data",batch : 2 of 48 row: 10,Admin,98%,"salah input, double, data"
Sudah tidak hadir dari 2022. Dikontak tidak ada respons. Ingin memberi ruang untuk new member yang benar-benar bisa dimuridkan dan komit untuk ke date.,batch : 3 of 48 row: 1,tidak_ada_respon,97%,"tidak hadir, tidak respons"
Sudah tidak hadir dari 2022. Dikontak tidak ada respons. Ingin memberi ruang untuk new member yang benar-benar bisa dimuridkan dan komit untuk ke date.,batch : 3 of 48 row: 2,tidak_ada_respon,97%,"tidak hadir, tidak respons"
dater pindah ke USA utk jangka lama,batch : 3 of 48 row: 3,lokasi,99%,"pindah USA, jangka lama"
dater pindah ke USA utk jangka lama,batch : 3 of 48 row: 4,lokasi,99%,"pindah USA, jangka lama"
"pindah domisili ke Maja Raya, sehingga pindah gereja",batch : 3 of 48 row: 5,lokasi,96%,"pindah domisili, pindah gereja"
mencari date dengan waktu yg berbeda,batch : 3 of 48 row: 6,waktu_tidak_sesuai,88%,"waktu berbeda, mencari date"
Dikarenakan date ini sudah tidak aktif dan anggota date diberi waktu untuk mencari date baru,batch : 3 of 48 row: 7,alasan_DATE,95%,"date tidak aktif, cari date baru"
Di karenakan date ini sudah tidak aktif dan anggota member mau mencari date baru,batch : 3 of 48 row: 8,alasan_DATE,95%,"date tidak aktif, cari date baru"
Pasangan Amos & Lia pindah gereja,batch : 3 of 48 row: 9,tertanam_di_gereja_lain,93%,"pindah gereja, pasangan"
Pasangan Amos & Lia pindah gereja,batch : 3 of 48 row: 10,tertanam_di_gereja_lain,93%,"pindah gereja, pasangan"
banyak kesibukan pekerjaan di hari jumat,batch : 4 of 48 row: 1,waktu_tidak_sesuai,97%,"pekerjaan, hari jumat, kesibukan"
banyak kesibukan pekerjaan di hari jumat,batch : 4 of 48 row: 2,waktu_tidak_sesuai,97%,"pekerjaan, hari jumat, kesibukan"
"Never come, no news and never respond..",batch : 4 of 48 row: 3,tidak_ada_respon,99%,"never come, no news, no respond"
Move to new address at Palmerah,batch : 4 of 48 row: 4,lokasi,99%,"move, new address, Palmerah"
Remove to new Address at KebonJeruk,batch : 4 of 48 row: 5,lokasi,99%,"new address, KebonJeruk, remove"
Remove to the new house at Serpong,batch : 4 of 48 row: 6,lokasi,99%,"new house, Serpong, move"
Not come and no respond for vew years,batch : 4 of 48 row: 7,tidak_ada_respon,98%,"no respond, never come, years"
Not come again fot 2 years later,batch : 4 of 48 row: 8,tidak_ada_respon,97%,"not come, 2 years, again"
No respond if we contact her vew month later,batch : 4 of 48 row: 9,tidak_ada_respon,98%,"no respond, contact, month later"
Never come to DATE again at least 3 years,batch : 4 of 48 row: 10,tidak_ada_respon,98%,"never come, DATE, 3 years"
Never come again at least for 1 year,batch : 5 of 48 row: 1,others,92%,"never come, 1 year, unclear"
Never come again for 6 months,batch : 5 of 48 row: 2,others,92%,"never come, 6 months, unclear"
"Mau membenahi jadwal di keluarganya yg sedang sibuk, tdk bs komit datang di date hari sabtu & tdk mau utk transfer ke date di hari lainn.",batch : 5 of 48 row: 3,waktu_tidak_sesuai,95%,"jadwal, sibuk, sabtu"
"Mau membenahi jadwal di keluarganya yg sedang sibuk, tdk bs komit datang di date hari sabtu & tdk mau utk transfer ke date di hari lainn.",batch : 5 of 48 row: 4,waktu_tidak_sesuai,95%,"jadwal, sibuk, sabtu"
"Victor ada perubahan email, email yg lama ada problem",batch : 5 of 48 row: 5,Admin,96%,"email, problem, data"
sudah 1 tahun tidak hadir date. pindah ke darmawangsa 6,batch : 5 of 48 row: 6,lokasi,97%,"pindah, darmawangsa, date"
sudah tidak pernah datang 1 tahun terakhir,batch : 5 of 48 row: 7,tidak_ada_respon,90%,"tidak hadir, 1 tahun, never"
Move to Date Kemayoran 5 (DL Reagan),batch : 5 of 48 row: 8,alasan_DATE,98%,"move, date, kemayoran"
No longer go to JPCC and Date. After married she went to GKI with her husband,batch : 5 of 48 row: 9,perbedaan_musim_kehidupan,97%,"married, husband, GKI"
sudah 3 tahun tidak datang date,batch : 5 of 48 row: 10,tidak_ada_respon,88%,"tidak datang, 3 tahun, date"
sudah 3 tahun tidak datang date lagi,batch : 6 of 48 row: 1,alasan_DATE,96%,"tidak datang, 3 tahun, date"
not longer active because of busy working.,batch : 6 of 48 row: 2,waktu_tidak_sesuai,92%,"busy working, active, work"
mau coba pindah ke date yang baru,batch : 6 of 48 row: 3,alasan_DATE,95%,"pindah, date baru, DATE"
Pindah domisili dari Jakarta ke Jambi,batch : 6 of 48 row: 4,lokasi,99%,"Jakarta, Jambi, pindah"
pindah keluar kota. sudah ngak pernah datang di date sudah lama.,batch : 6 of 48 row: 5,lokasi,98%,"pindah keluar kota, tidak datang, date"
pindah rumah ke area meruya sehingga mencari date yang dekat. sudah ngak pernah datang di date sudah lama.,batch : 6 of 48 row: 6,lokasi,97%,"pindah rumah, Meruya, date dekat"
pindah rumah ke area meruya sehingga mencari date yang dekat. sudah ngak pernah datang di date sudah lama.,batch : 6 of 48 row: 7,lokasi,97%,"pindah rumah, Meruya, date dekat"
The person has moved to bali..,batch : 6 of 48 row: 8,lokasi,99%,"moved, bali, relocation"
"Dari awal, yg tertarik ikut date hanya istrinya (liza).. utk suaminya tidak pernah datang.",batch : 6 of 48 row: 9,tidak_ada_respon,90%,"tidak pernah datang, suami, istri"
Silvia sudah aktif di gereja lokal nya,batch : 6 of 48 row: 10,tertanam_di_gereja_lain,98%,"aktif, gereja lokal, lain"
Mola sudah pindah kota dan aktif di gereja lokal nya,batch : 7 of 48 row: 1,lokasi,98%,"pindah kota, aktif gereja"
Pindah ke bandung for goods dan date kami sekarang onsite,batch : 7 of 48 row: 2,lokasi,97%,"pindah bandung, for goods"
Bukan member dari dk20 jadinya harus diremove,batch : 7 of 48 row: 3,Admin,95%,"bukan member, diremove"
Sudah 3 bulan tidak join DATE.,batch : 7 of 48 row: 4,alasan_DATE,92%,"tidak join, DATE"
Sudah 3 bulan tidak join DATE.,batch : 7 of 48 row: 5,alasan_DATE,92%,"tidak join, DATE"
Date leader akan pindah ke Semarang,batch : 7 of 48 row: 6,lokasi,99%,"pindah, Semarang"
Date leader akan pindah ke Semarang,batch : 7 of 48 row: 7,lokasi,99%,"pindah, Semarang"
Date leader akan pindah ke Semarang,batch : 7 of 48 row: 8,lokasi,99%,"pindah, Semarang"
Date leader akan pindah ke Semarang,batch : 7 of 48 row: 9,lokasi,99%,"pindah, Semarang"
Date leader akan pindah ke Semarang,batch : 7 of 48 row: 10,lokasi,99%,"pindah, Semarang"
Karena pindah rumah ke Jogjakarta,batch : 8 of 48 row: 1,lokasi,98%,"pindah rumah, Jogjakarta"
Karena ybs sudah meninggal dunia,batch : 8 of 48 row: 2,others,99%,"meninggal, wafat"
Pindah ke luar kota (bali) karena pekerjaan,batch : 8 of 48 row: 3,lokasi,97%,"luar kota, Bali"
Pindah ke luar kota (Bali) karena pekerjaan,batch : 8 of 48 row: 4,lokasi,97%,"luar kota, Bali"
Absent from DATE for long time,batch : 8 of 48 row: 5,tidak_ada_respon,90%,"absent, long time"
Absent from DATE for long time,batch : 8 of 48 row: 6,tidak_ada_respon,90%,"absent, long time"
Decided to quit as she felt like she didn't fit in well with the other members.,batch : 8 of 48 row: 7,alasan_DATE,84%,"didn't fit, members"
Keluar karena season kehidupannha sudah tidak cocok dengan date ini,batch : 8 of 48 row: 8,perbedaan_musim_kehidupan,95%,"season, tidak cocok"
