delete_reason,batch,Final label,Confidence,Keywords
"Bukan Date Member, hanya suami Date Member, tidak pernah datang date, tidak pernah berinteraksi dengan DM lain, tidak ada di grup date",batch : 1 of 48 row: 1,alasan_DATE,90%,"Date Member, tidak pernah datang"
"Date member mengundurkan diri dari date, karena lokasi date dengan rumah yang jauh. Date member berencana mencari date yang baru, dengan menggunakan applikasi, karena suka lupa saat mau daftar date di campus.",batch : 1 of 48 row: 2,lokasi,95%,"lokasi date, jauh"
His working area move to Batam and will not available to join date,batch : 1 of 48 row: 3,lokasi,100%,"lokasi kerja, Batam"
Working location are moving and will be looking date to more available area,batch : 1 of 48 row: 4,lokasi,100%,"lokasi kerja, pindah"
Ingin mencoba tertanam di gereja local (Bandung),batch : 1 of 48 row: 5,tertanam_di_gereja_lain,95%,"gereja local, Bandung"
Move to other church due to closer from where she stays. She already join the small group there.,batch : 1 of 48 row: 6,tertanam_di_gereja_lain,100%,"gereja lain, dekat rumah"
"Date Member mula mula, menikah dan ikut suami ke Singapore since maret 2020. namun karna kebutuhan ada komunitas dan masih online, saya ijinkan sampai hari ini. kontribusi juga sangat besar di Date, seharusnya sudah saya jadikan CT, namun keterbatasan domisili saja. saat ini Date sudah hybrid. jadi diberikan pengertian agar tertanam di gereja domisili di singapore bersama gereja suami.",batch : 1 of 48 row: 7,perbedaan_musim_kehidupan,90%,"menikah, pindah"
"dikembalikan ke gereja domisili karna status saat ini di makasar. join pada saat pandemi dan menggunakan sarana online sebelumnya. di pertahankan yang seharusnya hanya sebulan, namun melihat kebutuhan Olyvia Gosal saat itu, saya pertahankan sampai saat ini ?",batch : 1 of 48 row: 8,lokasi,95%,"gereja domisili, Makasar"
Dater dan keluarga memutuskan pindah ke gereja dekat rumah,batch : 1 of 48 row: 9,tertanam_di_gereja_lain,100%,"gereja dekat, rumah"
dater dan keluarga memutuskan pindah ke gereja dekat rumah,batch : 1 of 48 row: 10,tertanam_di_gereja_lain,100%,"gereja dekat, rumah"
pindah date di Jakarta yang sesuai,batch : 2 of 48 row: 1,alasan_DATE,80%,"pindah, date, Jakarta"
pindah ke Bojonegoro jadi jauh,batch : 2 of 48 row: 2,lokasi,90%,"pindah, Bojonegoro, jauh"
pindah area ke Bojonegoro jadi jauh,batch : 2 of 48 row: 3,lokasi,90%,"pindah, area, Bojonegoro"
Non aktif dulu karena kesibukan atas request DM,batch : 2 of 48 row: 4,others,60%,"non, aktif, kesibukan"
"Ybs tidak bs join date dikarenakan waktu, disarankan untuk pineah date tp blm memantapkan hati",batch : 2 of 48 row: 5,waktu_tidak_sesuai,80%,"waktu, join, date"
Atika menginformasikan kalau dia sudah tidak beribadah lagi di JPCC dan memilih mengikuti komunitas rohani di gereja lain. Ybs jg sudah pamit dari group wa date secara baik2.,batch : 2 of 48 row: 6,tertanam_di_gereja_lain,95%,"gereja, lain, komunitas"
lagi ga sempet ikut dateeeeeeeee,batch : 2 of 48 row: 7,waktu_tidak_sesuai,70%,"ga, sempet, ikut"
sedang tidak sempat ikut date katanyaa,batch : 2 of 48 row: 8,waktu_tidak_sesuai,70%,"tidak, sempat, ikut"
"Pindah ke Texas, USA utk berkeluarga.",batch : 2 of 48 row: 9,lokasi,95%,"pindah, Texas, berkeluarga"
