delete_reason,batch,Final label,Confidence,Keywords
"Bukan Date Member, hanya suami Date Member, tidak pernah datang date, tidak pernah berinteraksi dengan DM lain, tidak ada di grup date",batch : 1 of 48 row: 1,Admin,85%,"bukan member, suami, tidak pernah datang"
"Date member mengundurkan diri dari date, karena lokasi date dengan rumah yang jauh. Date member berencana mencari date yang baru, dengan menggunakan applikasi, karena suka lupa saat mau daftar date di campus.",batch : 1 of 48 row: 2,lokasi,90%,"lokasi jauh, pindah, aplikasi"
His working area move to Batam and will not available to join date,batch : 1 of 48 row: 3,lokasi,95%,"Batam, working area move, relokasi"
Working location are moving and will be looking date to more available area,batch : 1 of 48 row: 4,lokasi,90%,"moving location, available area, relokasi"
Ingin mencoba tertanam di gereja local (Bandung),batch : 1 of 48 row: 5,tertanam_di_gereja_lain,92%,"gereja local, Bandung, tertanam"
Move to other church due to closer from where she stays. She already join the small group there.,batch : 1 of 48 row: 6,tertanam_di_gereja_lain,88%,"other church, closer, small group"
"Date Member mula mula, menikah dan ikut suami ke Singapore since maret 2020. namun karna kebutuhan ada komunitas dan masih online, saya ijinkan sampai hari ini. kontribusi juga sangat besar di Date, seharusnya sudah saya jadikan CT, namun keterbatasan domisili saja. saat ini Date sudah hybrid. jadi diberikan pengertian agar tertanam di gereja domisili di singapore bersama gereja suami.",batch : 1 of 48 row: 7,lokasi,92%,"Singapore, menikah, domisili"
"dikembalikan ke gereja domisili karna status saat ini di makasar. join pada saat pandemi dan menggunakan sarana online sebelumnya. di pertahankan yang seharusnya hanya sebulan, namun melihat kebutuhan Olyvia Gosal saat itu, saya pertahankan sampai saat ini ?",batch : 1 of 48 row: 8,lokasi,88%,"Makassar, gereja domisili, status"
Dater dan keluarga memutuskan pindah ke gereja dekat rumah,batch : 1 of 48 row: 9,tertanam_di_gereja_lain,85%,"gereja dekat rumah, pindah, keluarga"
dater dan keluarga memutuskan pindah ke gereja dekat rumah,batch : 1 of 48 row: 10,tertanam_di_gereja_lain,85%,"gereja dekat rumah, pindah, keluarga"
pindah date di Jakarta yang sesuai,batch : 2 of 48 row: 1,alasan_DATE,85%,"pindah date, Jakarta, sesuai"
pindah ke Bojonegoro jadi jauh,batch : 2 of 48 row: 2,lokasi,95%,"pindah, Bojonegoro, jauh"
pindah area ke Bojonegoro jadi jauh,batch : 2 of 48 row: 3,lokasi,95%,"pindah area, Bojonegoro, jauh"
Non aktif dulu karena kesibukan atas request DM,batch : 2 of 48 row: 4,waktu_tidak_sesuai,90%,"kesibukan, non aktif, request"
"Ybs tidak bs join date dikarenakan waktu, disarankan untuk pineah date tp blm memantapkan hati",batch : 2 of 48 row: 5,waktu_tidak_sesuai,80%,"tidak bisa, waktu, pindah date"
Atika menginformasikan kalau dia sudah tidak beribadah lagi di JPCC dan memilih mengikuti komunitas rohani di gereja lain. Ybs jg sudah pamit dari group wa date secara baik2.,batch : 2 of 48 row: 6,tertanam_di_gereja_lain,95%,"gereja lain, komunitas rohani, tidak beribadah JPCC"
lagi ga sempet ikut dateeeeeeeee,batch : 2 of 48 row: 7,waktu_tidak_sesuai,85%,"tidak sempet, date, jadwal"
sedang tidak sempat ikut date katanyaa,batch : 2 of 48 row: 8,waktu_tidak_sesuai,85%,"tidak sempat, date, jadwal"
"Pindah ke Texas, USA utk berkeluarga.",batch : 2 of 48 row: 9,perbedaan_musim_kehidupan,90%,"pindah Texas, berkeluarga, fase hidup"
DM tidak aktif dan mengambil keputusan untuk tidak mau ikut date lagi.,batch : 2 of 48 row: 10,alasan_DATE,85%,"DM tidak aktif, tidak ikut date, keputusan"
Belum selesai probation yang ditentukan,batch : 3 of 48 row: 1,Admin,95%,"probation, belum selesai, administratif"
pindah gereja bersama dengan keluarganya,batch : 3 of 48 row: 2,tertanam_di_gereja_lain,90%,"pindah gereja, keluarga, komitmen lain"
Retta sementara fokus pada perkuliahannya di luar kota. belum bisa fokus untuk bisa komitmen hadir di DATE.,batch : 3 of 48 row: 3,perbedaan_musim_kehidupan,85%,"perkuliahan, luar kota, fokus studi"
"pindah BSD gereja jpcc alsut, akan cari date deket sana",batch : 3 of 48 row: 4,lokasi,92%,"pindah BSD, relokasi, geografi"
kehilangan komunikasi tidak bisa dikontak lagi,batch : 3 of 48 row: 5,tidak_ada_respon,95%,"tidak bisa dikontak, hilang komunikasi, MIA"
menemukan date yg lebih cocok di komunitas lain,batch : 3 of 48 row: 6,alasan_DATE,88%,"date lain, lebih cocok, komunitas"
menemukan date yg lebih cocok di komunitas lain,batch : 3 of 48 row: 7,alasan_DATE,88%,"date lain, lebih cocok, komunitas"
mau mencari date yang baru di Jakarta Barat,batch : 3 of 48 row: 8,alasan_DATE,85%,"date baru, Jakarta Barat, pindah"
Maw mencoba date baru di tempat lain,batch : 3 of 48 row: 9,alasan_DATE,82%,"date baru, tempat lain, coba"
sudah tidak aktif selama beberapa bulan dan sedang sibuk utk saat ini.,batch : 3 of 48 row: 10,waktu_tidak_sesuai,80%,"sibuk, tidak aktif, komitmen waktu"
"Sudah lama tidak aktif, dan DM request untuk keluar",batch : 4 of 48 row: 1,tidak_ada_respon,75%,"lama tidak aktif, keluar, DM request"
Maria saat ini sudah pindah domisili ke luar negeri,batch : 4 of 48 row: 2,lokasi,95%,"pindah domisili, luar negeri"
DM daftar ulang dengan email yg berbeda (karena ada masalah teknis).,batch : 4 of 48 row: 3,Admin,90%,"daftar ulang, masalah teknis, email berbeda"
She has been inactive on date for more than one year.,batch : 4 of 48 row: 4,tidak_ada_respon,80%,"inactive, one year, DATE"
She has been inactive on Date for more than a year,batch : 4 of 48 row: 5,tidak_ada_respon,80%,"inactive, year, Date"
"sudah lama sekali tidak pernah joint DATE, alasannya selalu sibuk.",batch : 4 of 48 row: 6,waktu_tidak_sesuai,85%,"sibuk, tidak pernah joint, DATE"
"Temporary exit while studying abroad, will rejoin after graduation.",batch : 4 of 48 row: 7,perbedaan_musim_kehidupan,85%,"studying abroad, temporary exit, graduation"
"Time conflict, DM no longer can join weekly meetings.",batch : 4 of 48 row: 8,waktu_tidak_sesuai,95%,"time conflict, weekly meetings"
"Time conflict, DM no longer able to join weekly meetings",batch : 4 of 48 row: 9,waktu_tidak_sesuai,95%,"time conflict, weekly meetings"
"DATE venue is already changed to Semanan, far from previous location in Rasuna. Prefer to find other DATE.",batch : 4 of 48 row: 10,alasan_DATE,90%,"venue changed, lokasi jauh, prefer other DATE"
"DATE venue is already changed to Semanan, far from previous location in Rasuna. Prefer to find other DATE.",batch : 5 of 48 row: 1,alasan_DATE,85%,"venue changed, prefer other DATE, location"
"DATE venue is already changed to Semanan, far from previous location in Rasuna. Prefer to find other DATE.",batch : 5 of 48 row: 2,alasan_DATE,85%,"venue changed, prefer other DATE, location"
"DATE venue is already changed to Semanan, far from previous location in Rasuna. Prefer to find other DATE.",batch : 5 of 48 row: 3,alasan_DATE,85%,"venue changed, prefer other DATE, location"
juat get married and would like to change to DATE married couples,batch : 5 of 48 row: 4,perbedaan_musim_kehidupan,90%,"married, change DATE, life phase"
DM memutuskan secara pribadi untuk keluar dari Date.,batch : 5 of 48 row: 5,others,60%,"personal decision, keluar, unclear reason"
Ybs berada diluar daerah dan permintaan ini tidak melalui jalur approval,batch : 5 of 48 row: 6,lokasi,75%,"diluar daerah, outside area, relocation"
Got married and move to Jogja for good. Move church as well,batch : 5 of 48 row: 7,perbedaan_musim_kehidupan,95%,"married, move, relocation"
Got married and move to Jogja for good. Move church as well,batch : 5 of 48 row: 8,perbedaan_musim_kehidupan,95%,"married, move, relocation"
"Waktu pekerjaan, sehingga sulit hadir ke Date",batch : 5 of 48 row: 9,waktu_tidak_sesuai,95%,"work time, schedule conflict, difficult attend"
Member doesnt show up regularly,batch : 5 of 48 row: 10,tidak_ada_respon,80%,"doesnt show up, irregular, missing"
"Tidak pernah ikut date, AnSeungHee autojoin di date ini karna statusnya menikah dengan Hanna",batch : 6 of 48 row: 1,perbedaan_musim_kehidupan,85%,"menikah, status berubah, autojoin"
Tidak pernah hadir date karena kegiatan,batch : 6 of 48 row: 2,waktu_tidak_sesuai,75%,"kegiatan, bentrok jadwal, tidak hadir"
Tidak pernah hadir date karena kegiatan,batch : 6 of 48 row: 3,waktu_tidak_sesuai,75%,"kegiatan, bentrok jadwal, tidak hadir"
Jarang hadir di date karena bentrok dengan aktifitas sehati hari,batch : 6 of 48 row: 4,waktu_tidak_sesuai,80%,"bentrok, aktivitas sehari-hari, jarang hadir"
Salah Pencet seharusnya msh probation. Conf to IT (Salomo),batch : 6 of 48 row: 5,Admin,90%,"salah pencet, probation, kesalahan administratif"
Tidak bisa bekerja sama dgn DL d Memebru pengaruh yg negatif dalam komunitas,batch : 6 of 48 row: 6,alasan_DATE,85%,"konflik DL, pengaruh negatif, tidak bisa bekerja sama"
Lagi sibuk kerjaan keluar kota melulu,batch : 6 of 48 row: 7,lokasi,80%,"keluar kota, relokasi, sibuk kerjaan"
Tidak pernah hadir dalam date lagi,batch : 6 of 48 row: 8,tidak_ada_respon,70%,"tidak hadir, tidak pernah, missing"
sudah lebih dari 6 bulan tidak bisa di contact,batch : 6 of 48 row: 9,tidak_ada_respon,85%,"tidak bisa dihubungi, 6 bulan, MIA"
Sudah tidak pernah hadir dalam date,batch : 6 of 48 row: 10,tidak_ada_respon,75%,"tidak hadir, tidak pernah, missing"
she is not come to date again..,batch : 7 of 48 row: 1,tidak_ada_respon,75%,"not come, no attendance, missing"
Tidak pernah ikut Date dan setelah ditawarkan untuk pindah jadwal date memilih untuk tidak date dahulu,batch : 7 of 48 row: 2,alasan_DATE,85%,"tidak date, jadwal date, DATE decision"
Sepakat dengan pasangan untuk pindah gereja lokal dgn alasan kepentingan keluarga.,batch : 7 of 48 row: 3,perbedaan_musim_kehidupan,80%,"pasangan, kepentingan keluarga, pindah gereja"
Dater hasnt been coming and no intention on coming.,batch : 7 of 48 row: 4,tidak_ada_respon,85%,"not coming, no intention, absent"
"Live far from Jakarta (Solo), too busy for Date",batch : 7 of 48 row: 5,lokasi,90%,"Solo, far from Jakarta, relocation"
"Domisili d Bandung. Selama pandemi, krn online msh bs ikut ibadah JPCC dan Date online. Sekarang sdh bs offline, jd kmd sdh dpt gereja dan komunitas d sana.",batch : 7 of 48 row: 6,lokasi,90%,"Bandung, gereja sana, pindah lokasi"
Date member berada di kota lain (palembang),batch : 7 of 48 row: 7,lokasi,95%,"Palembang, kota lain, relocation"
Date member sudab balik ke kota asal (jambi),batch : 7 of 48 row: 8,lokasi,95%,"Jambi, balik kota asal, relocation"
selama 2 tahun Deni tidak bisa hadi di Date baik online. Dan ybs menjelaskan bahwa kesibukan kerja yg sampai jam 9 malam membuat tidak bisa hadir di Date.,batch : 7 of 48 row: 9,waktu_tidak_sesuai,90%,"kesibukan kerja, jam 9 malam, jadwal"
"Belum perna join Date, infonya mau join yg digereja lama",batch : 7 of 48 row: 10,tertanam_di_gereja_lain,85%,"gereja lama, join gereja lain, belum join"
Tidak pernah datang date setahun terakhir,batch : 8 of 48 row: 1,tidak_ada_respon,85%,"tidak pernah datang, setahun terakhir"
ellisa mau menikah dan memutuskan belajar ajaran katolik,batch : 8 of 48 row: 2,perbedaan_musim_kehidupan,90%,"menikah, belajar ajaran"
Karena ika ingin menata hati dalam berkomitken join date,batch : 8 of 48 row: 3,alasan_DATE,75%,"menata hati, join date"
Date member yang bersangkutan pindah ke australia sehingga tidak dapat lagi ikut date.,batch : 8 of 48 row: 4,lokasi,95%,"pindah australia, tidak dapat ikut"
sudah lama tidak hadir di DATE,batch : 8 of 48 row: 5,tidak_ada_respon,80%,"lama tidak hadir, DATE"
sudah lama tidak hadir di DATE,batch : 8 of 48 row: 6,tidak_ada_respon,80%,"lama tidak hadir, DATE"
