delete_reason,batch,Final label,Confidence,Keywords
sorry ini harusnya jd New Comer dulu,batch : 1 of 48 row: 1,Admin,96%,"New Comer, harusnya, data"
"sudah pindah rumah & gereja ke Bandung, jadi tidak pernah datang lagi",batch : 1 of 48 row: 2,lokasi,98%,"pindah rumah, Bandung, gereja"
Pindah gereja,batch : 1 of 48 row: 3,lokasi,95%,"pindah gereja, lokasi, relokasi"
Tertanam di gereja lain,batch : 1 of 48 row: 4,tertanam_di_gereja_lain,99%,"tertanam, gereja lain, aktif"
meninggal dunia,batch : 1 of 48 row: 5,others,99%,"meninggal dunia, wafat, alasan"
Terdaftar pada 2 akun yang berbeda. Member ingin akun ini diremove dari data DATE,batch : 1 of 48 row: 6,Admin,97%,"2 akun, remove, data"
pindah ke makasar,batch : 1 of 48 row: 7,lokasi,98%,"pindah, Makasar, lokasi"
DATE Member mengundurkan diri,batch : 1 of 48 row: 8,alasan_DATE,94%,"mengundurkan diri, DATE, member"
pindah ke gereja khatolik setelah menikah,batch : 1 of 48 row: 9,perbedaan_musim_kehidupan,93%,"setelah menikah, gereja katolik, suami"
"setelah menikah, Linda bergereja di tempat suami",batch : 1 of 48 row: 10,perbedaan_musim_kehidupan,96%,"setelah menikah, tempat suami, bergereja"
"date akan dibubarkan, sudah diberi waktu untuk mencari date baru",batch : 2 of 48 row: 1,alasan_DATE,98%,"date dibubarkan, pindah DATE"
pasangan Wailan dan Villi terakhir hadir di bulan Januari/Februari dan hingga bbrp hari yl sdh menyatakan permisi untuk pindah DATE.,batch : 2 of 48 row: 2,alasan_DATE,96%,"pindah DATE, terakhir hadir"
"Sulit hadir sesuai waktu DATE krn letak kantor yang jauh dan sudah suggest ybs untuk miove ke date yang deket kantor,sudah lebih dr 3 bulan juga tidak datang date",batch : 2 of 48 row: 3,waktu_tidak_sesuai,94%,"kantor jauh, tidak datang"
pindah gereja,batch : 2 of 48 row: 4,tertanam_di_gereja_lain,99%,"pindah gereja, gereja lain"
pindah gereja,batch : 2 of 48 row: 5,tertanam_di_gereja_lain,99%,"pindah gereja, gereja lain"
Sudah menikah dan ikut suami tertanam di gereja lain,batch : 2 of 48 row: 6,perbedaan_musim_kehidupan,97%,"menikah, ikut suami"
date member pindah ke luar negeri,batch : 2 of 48 row: 7,lokasi,99%,"luar negeri, pindah"
"sudah 10 bulan Juni cuti dari date, dg alasan ingin menyendiri setelah putus dg kekasih. sudah didekati dan 1on 1 dan diberi waktu cuti tak terbatas, tp akhirnya Juni minta keluar date",batch : 2 of 48 row: 8,perbedaan_musim_kehidupan,90%,"putus, cuti"
Calon DM tidak memberikan alasan kenapa tidak bisa bergabung,batch : 2 of 48 row: 9,others,95%,"tanpa alasan, tidak jelas"
sudah pindah tempat tinggal,batch : 2 of 48 row: 10,lokasi,99%,"pindah tempat, tinggal"
Date Member Pindah ke Luar Negri,batch : 3 of 48 row: 1,lokasi,99%,"pindah, luar negeri, Date Member"
"tempat tinggal jauh, jadi sulit untuk datang.",batch : 3 of 48 row: 2,lokasi,92%,"tempat tinggal, jauh, sulit datang"
tertanam di gereja lain,batch : 3 of 48 row: 3,tertanam_di_gereja_lain,99%,"gereja lain, tertanam, aktif"
fokus ibadah di gereja calon suami,batch : 3 of 48 row: 4,perbedaan_musim_kehidupan,96%,"calon suami, gereja, ibadah"
Join manual ke sgm 20235,batch : 3 of 48 row: 5,Admin,88%,"manual, sgm, 20235"
Ditugaskan penempatan dokter di luar kota,batch : 3 of 48 row: 6,lokasi,98%,"penempatan, dokter, luar kota"
fase hidup lagi berbeda,batch : 3 of 48 row: 7,perbedaan_musim_kehidupan,84%,"fase hidup, berbeda, musim"
recently got married and decided to be planted in other Church following her husband,batch : 3 of 48 row: 8,perbedaan_musim_kehidupan,97%,"menikah, suami, gereja lain"
