delete_reason,batch,Final label,Confidence,Keywords
moving to Bandung already years,batch : 1 of 48 row: 1,lokasi,98%,"moving, Bandung, years"
DM sudah tidak pernah dtg ke DATE lbh dr 2 tahun,batch : 1 of 48 row: 2,alasan_DATE,96%,"tidak pernah, DATE, 2 tahun"
DM sudah tidak pernah dtg ke DATE lbh dr 2 tahun,batch : 1 of 48 row: 3,alasan_DATE,96%,"tidak pernah, DATE, 2 tahun"
DM sudah tidak pernah dtg ke date lbh dr 2 tahun,batch : 1 of 48 row: 4,alasan_DATE,96%,"tidak pernah, date, 2 tahun"
DM sudah tidak pernah dtg ke date dlm jangka waktu 2 tahun,batch : 1 of 48 row: 5,alasan_DATE,95%,"tidak pernah, date, 2 tahun"
putri berencana pindah gereja ke gereja awal bersama teman2nya,batch : 1 of 48 row: 6,tertanam_di_gereja_lain,93%,"pindah gereja, gereja awal, teman"
"withdraw from DATE, disarankan untuk mencari DATE lain yg lebih sesuai",batch : 1 of 48 row: 7,alasan_DATE,94%,"withdraw, DATE lain, sesuai"
Sudah pindah keCikarang jadi tidak bisa date lagi,batch : 1 of 48 row: 8,lokasi,98%,"pindah, Cikarang, tidak bisa"
Date member memilih untuk off sementara krn alasan yg tdk bs dijelaskan kepada DL.,batch : 1 of 48 row: 9,others,88%,"off sementara, tidak dijelaskan, DL"
Sudah tidak pernah datang selama 3 bulan terakhir.,batch : 1 of 48 row: 10,tidak_ada_respon,90%,"tidak pernah, datang, 3 bulan"
Tidak aktif di date selama lebih dari 1 tahun.,batch : 2 of 48 row: 1,alasan_DATE,95%,"tidak aktif, date, 1 tahun"
Tidak aktif di date selama lebih dari 1 tahun.,batch : 2 of 48 row: 2,alasan_DATE,95%,"tidak aktif, date, 1 tahun"
Tidak aktif di date selama lebih dari 1 tahun.,batch : 2 of 48 row: 3,alasan_DATE,95%,"tidak aktif, date, 1 tahun"
"Belum bisa komitmen untuk datang ke Date, sudah berbulan-bulan tidak hadir ke 
Date dan Sdri. Mei meminta secara pribadi untuk dikeluarkan dari date.",batch : 2 of 48 row: 4,alasan_DATE,96%,"tidak hadir, dikeluarkan, date"
memutuskan utk tidak ternama di DATE lagi karena season kehidupan yg baru yaitu menikah dan belum ada waktu untuk cari DATE yg lbh dekat dekat tempat tinggal baru nya di TANGERANG. sebagai DL saya sudah bantu fasilitasi untuk cari DATE baru namun tidak ada kabar dan komitmen nya utk visit maupun cari DATE married couple.,batch : 2 of 48 row: 5,perbedaan_musim_kehidupan,97%,"menikah, season baru, tertanam"
"Salah input
Salah input nama. Itu nama anak date member",batch : 2 of 48 row: 6,Admin,99%,"salah input, nama, anak"
"Date Member info blom bisa komitmen untuk hadir mengikutin date walaupun 1 atau 2 bulan sekali karena sering lembur di kantor..udh info ke date member akan coba bantu cari date yang bisa menyesuaikan dengan jadwal member , tp date membernya tetap pada pendiriaanya..dan selama join di date di bulan januari date member baru hadir 3x ikut join date sampai july ini..thank you",batch : 2 of 48 row: 7,waktu_tidak_sesuai,96%,"lembur, jadwal, hadir"
"Arwin & family moved to Bali dan mau tertanam di gereja lokal, dan mereka mau bergabung komsel disana.",batch : 2 of 48 row: 8,lokasi,98%,"moved, Bali, lokal"
"Gina & family move to Bali dan mau tertanam di gereja lokal, dan mereka mau bergabung komsel disana.",batch : 2 of 48 row: 9,lokasi,98%,"move, Bali, lokal"
Memutuskan utk tertanam di gereja lain,batch : 2 of 48 row: 10,tertanam_di_gereja_lain,99%,"tertanam, gereja lain, aktif"
sudah tidak pernah datang ke date dan gereja.,batch : 3 of 48 row: 1,tidak_ada_respon,78%,"tidak pernah datang, date, gereja"
Sudah Tidak lagi berdomisili di Jakarta,batch : 3 of 48 row: 2,lokasi,98%,"domisili, Jakarta, tidak lagi"
Saudara Deynes sudah almarhum atau meninggal dunia,batch : 3 of 48 row: 3,others,99%,"almarhum, meninggal dunia, wafat"
ybs sudah tidak pernah hadir di DATE dan ibadah onsite,batch : 3 of 48 row: 4,tidak_ada_respon,92%,"tidak pernah hadir, DATE, onsite"
Never joined DATE more than 7 months.,batch : 3 of 48 row: 5,others,96%,"never joined, 7 months, singkat"
Never joined DATE more than a year.,batch : 3 of 48 row: 6,others,96%,"never joined, a year, singkat"
Never joined DATE more than a year.,batch : 3 of 48 row: 7,others,96%,"never joined, a year, singkat"
Renati pindah ke Bali dan akan bergereja di Bali,batch : 3 of 48 row: 8,lokasi,97%,"pindah Bali, bergereja, lokasi"
Pindah ke gereja lain bersama pacarnya.,batch : 3 of 48 row: 9,tertanam_di_gereja_lain,95%,"gereja lain, pacarnya, pindah"
Pindah ke gereja lain dan pindah tempat tinggal.,batch : 3 of 48 row: 10,lokasi,96%,"gereja lain, pindah tempat, tinggal"
diluar kota sejak beberapa tahun yg lalu,batch : 4 of 48 row: 1,lokasi,98%,"diluar kota, sejak lama"
"date member sudah berpindah lokasi,jadi tidak memungkinkan untuk stay di date.",batch : 4 of 48 row: 2,lokasi,99%,"pindah lokasi, stay"
"date member sudah pindah lokas, jadi tidak memungkinkan kalau stay di date kami. Dan sudah coba di date yang dekat dengan rumahnya",batch : 4 of 48 row: 3,lokasi,99%,"pindah lokasi, rumah"
Robin & Meylis sudah pindah ke Medan dari setahun lalu dan akan seterus nya domisili di Medan. Mereka juga sudah menemukan gereja lokal disana.,batch : 4 of 48 row: 4,lokasi,99%,"pindah Medan, domisili"
Robin & Meylis sudah pindah ke Medan dari setahun lalu dan akan seterus nya domisili di Medan. Mereka juga sudah menemukan gereja lokal disana.,batch : 4 of 48 row: 5,lokasi,99%,"pindah Medan, domisili"
Pindah Domisili ke New Zealand,batch : 4 of 48 row: 6,lokasi,99%,"pindah domisili, New Zealand"
Pindah Domisili Ke New Zealand,batch : 4 of 48 row: 7,lokasi,99%,"pindah domisili, New Zealand"
"akan dapat beasiswa ke New York, jadi tidak akan berada di Jakarta",batch : 4 of 48 row: 8,lokasi,97%,"beasiswa, New York"
memberi tempat ke DM yg lbh membutuhkan,batch : 4 of 48 row: 9,others,72%,"memberi tempat, DM"
"sudah di luar kota, ga aktif lg",batch : 4 of 48 row: 10,lokasi,98%,"luar kota, tidak aktif"
ybs sudah lama tidak pernah hadir di pertemuan date. sudah konfirmasi pd ybs utk proses remove.,batch : 5 of 48 row: 1,tidak_ada_respon,88%,"lama tidak hadir, remove, konfirmasi"
Sedang mencari date married couple,batch : 5 of 48 row: 2,alasan_DATE,96%,"date married couple, mencari, date"
Sedang mencari date married couple,batch : 5 of 48 row: 3,alasan_DATE,96%,"date married couple, mencari, date"
"memutuskan untuk tidak Date lagi, karena pindah tempat tinggal.",batch : 5 of 48 row: 4,lokasi,97%,"pindah tempat tinggal, tidak Date lagi, pindah"
