delete_reason,batch,Final label,Confidence,Keywords
ada perbedaan pandangan mengenai tujuan date,batch : 1 of 48 row: 1,alasan_DATE,85%,"perbedaan pandangan, tujuan date, konflik"
pindah universitas di luar negri,batch : 1 of 48 row: 2,lokasi,95%,"pindah universitas, luar negeri, relokasi"
pindah universitas di luar negri,batch : 1 of 48 row: 3,lokasi,95%,"pindah universitas, luar negeri, relokasi"
Sekeluarga pindah ke Taiwan.,batch : 1 of 48 row: 4,lokasi,95%,"pindah, Taiwan, keluarga"
Mau mencari date lain yang harinya lbh sesuai,batch : 1 of 48 row: 5,waktu_tidak_sesuai,90%,"jadwal, hari, sesuai"
"Tidak aktif selama setahun, saya berusaha kontak namun msh blm ada jawaban",batch : 1 of 48 row: 6,tidak_ada_respon,90%,"tidak aktif, tidak ada jawaban, sulit dihubungi"
Suami dari DM tapi tidak ikut date,batch : 1 of 48 row: 7,perbedaan_musim_kehidupan,75%,"suami, status perubahan, prioritas"
"sudah tidak aktif date
date bukan jadi prioritas dalam berkomunitas
sepanjang pandemik samp mei 2023 hanya sekitar 10x date",batch : 1 of 48 row: 8,alasan_DATE,80%,"tidak aktif date, bukan prioritas, frekuensi rendah"
"sudahbtidak aktif di date kelapa gading 32 selama 3 tahun
udah dikonfirmasi tanpa ada keputusan",batch : 1 of 48 row: 9,tidak_ada_respon,85%,"tidak aktif 3 tahun, tanpa keputusan, konfirmasi"
"Tidak aktif sepanjang 2 tahun dan smp 2023 
dan telah konfirmasi memang tidak mau akif di date KG32",batch : 1 of 48 row: 10,alasan_DATE,90%,"tidak mau aktif, date KG32, konfirmasi"
"non aktif sepanjang pandemic
tahun 2023 hanya datang 1x 
sepanjang 5 bulan ini hanya 1x hadir dalam pertemuan date.",batch : 2 of 48 row: 1,tidak_ada_respon,75%,"non aktif, pandemic, minimal hadir"
"mau mencari date lain, karena ada perbedaan tujuan dan harapan dalam mengikuti DATE",batch : 2 of 48 row: 2,alasan_DATE,90%,"perbedaan tujuan, harapan DATE, cari DATE lain"
"mau mencari date lain, karena ada perbedaan tujuan dan harapan dalam mengikuti DATE",batch : 2 of 48 row: 3,alasan_DATE,90%,"perbedaan tujuan, harapan DATE, cari DATE lain"
Pindah ke married date supaya lebih sesuai dengan kebutuhan.,batch : 2 of 48 row: 4,alasan_DATE,85%,"pindah married date, kebutuhan, DATE change"
Pindah ke married date supaya lebih sesuai dengan kebutuhan.,batch : 2 of 48 row: 5,alasan_DATE,85%,"pindah married date, kebutuhan, DATE change"
sudah beberapa bulan tidak ikut date dan waktu yang terlalu sibuk sehingga memutuskan untuk off dl,batch : 2 of 48 row: 6,waktu_tidak_sesuai,88%,"waktu sibuk, tidak ikut, off"
date member akan kerja di luar negeri dan mengikuti suaminya. date member mencari date yang bisa online agar tetap bisa berkomunitas saat di luar negeri.,batch : 2 of 48 row: 7,lokasi,92%,"kerja luar negeri, relokasi, suami"
Indra sudah info tidak ikut DATE karena sudah pindah gereja.,batch : 2 of 48 row: 8,tertanam_di_gereja_lain,95%,"pindah gereja, tidak ikut DATE"
Indra sudah info tidak ikut DATE karena sudah pindah gereja.,batch : 2 of 48 row: 9,tertanam_di_gereja_lain,95%,"pindah gereja, tidak ikut DATE"
"member salah input double 
data",batch : 2 of 48 row: 10,Admin,92%,"double input, kesalahan data"
Sudah tidak hadir dari 2022. Dikontak tidak ada respons. Ingin memberi ruang untuk new member yang benar-benar bisa dimuridkan dan komit untuk ke date.,batch : 3 of 48 row: 1,tidak_ada_respons,95%,"tidak hadir 2022, tidak ada respons, dikontak"
Sudah tidak hadir dari 2022. Dikontak tidak ada respons. Ingin memberi ruang untuk new member yang benar-benar bisa dimuridkan dan komit untuk ke date.,batch : 3 of 48 row: 2,tidak_ada_respons,95%,"tidak hadir 2022, tidak ada respons, dikontak"
